Latitude,Longitude,Zones,Lab,Ag,B,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,V,Zn,As,Sb,Se,Hg,Fe,Al,pH H2O,pH KCl,PM,K+,Ca2+,Mg2+,Al3+,H+Al,SB,ECEC,CEC,V (%),m (%),SOM,PREM,Coarse sand,Fine sand,Silt,Clay
-20.93319,-45.093,SF,UFV1,0,3.33,20.66,0.84,1.57,15.65,20.09,106.45,0.455179433909691,6.46,21.18,7.28,25.84,26.22,0.95,0.57,0.0466662,0.0342896437742502,21164.72,49761.76,5.1,4.2,1.8,70,1.2,0.5,0.3,6.2,1.9,2.2,8.1,23.1,13.5,3.6,28.3,37,17,10,36
-21.16033,-45.28158,SF,UFV1,0,5.27,80.15,1.3,4.01,26.48,35.89,157.18,0.455179433909691,6.16,27.18,8.18,40.55,44.74,1.44,0.13,0.15,0.0342896437742502,34299.53,46250.49,5.9,5.1,1.8,163,3.2,0.7,0,3.3,4.3,4.3,7.6,56.7,0,2.6,26.3,28,12,19,41
-19.92372,-45.27453,SF,UFV1,0,3.07,9.91,0.178803683470566,0.54,6.64,11.04,41.24,0.455179433909691,2.31,14.34,1.82,9.62,20.47,1.54,0.57,0.0466662,0.0342896437742502,10514.83,49845.81,4.7,4,1.5,45,0.6,0.2,0.6,2.1,1,1.6,3.1,31.6,37.4,3.6,30.4,41,19,10,30
-20.30964,-45.57297,SF,UFV1,0,10.15,173.45,1.64,5.97,42.59,49.18,336.38,0.455179433909691,14.37,23.41,31.31,64.85,39.94,9.09,0.13,0.19,0.0342896437742502,39494.37,34406.09,7.8,7,5.7,52,9.7,0.9,0,1,10.8,10.8,11.8,91.5,0,4,25.5,11,10,27,52
-21.36708,-45.27303,SF,UFV1,0,2.3,46.62,0.6,1.23,20.75,15.05,40.39,0.455179433909691,4.93,19.44,4.27,14.82,13.57,1.63,0.64,0.29,0.0342896437742502,13282.17,26389.28,4.9,3.9,2.7,108,0.7,0.4,0.7,5.1,1.3,2,6.4,20.8,33.3,3.7,40.7,12,2,56,30
-19.96072,-45.96447,SF,UFV1,0,14.72,80.94,1.66,14.76,38.97,57.49,502.74,0.455179433909691,24.45,35.11,3.48,44.32,56.89,8.87,0.16,0.0466662,0.12,45613.03,33211.07,4.9,3.9,2.4,96,1,0.4,1.6,7.2,1.7,3.4,8.9,19.3,48.8,3.1,26.7,2,2,52,44
-21.18269,-43.82983,SF,UFV1,0,6.8,60.92,2.17,15.72,42.54,50.99,360.39,0.455179433909691,23.84,14.93,4.9,53.57,40.56,4.79,0.13,0.22,0.08,43959.82,61080.81,4.8,4.1,0.7,29,0.1,0,1.3,7,0.2,1.4,7.2,2.2,88.7,2.2,18.8,20,27,25,28
-22.02514,-45.65136,MA,UFV1,0,1.14559749674312,129.18,0.82,4.55,10.96,18.06,275.17,0.421481,4.74,10.02,5.42,9.97,46.67,0.37,0.55,0.0466662,0.0342896437742502,17668.06,25935.69,5.6,4.4,1.7,122,2,0.6,0.1,4.9,2.9,3,7.8,37.3,3.3,3.5,41.4,15,32,31,22
-20.28289,-45.90444,SF,UFV1,0,18.05,128.4,2.7,12.83,52.66,59.4,506.2,0.455179433909691,18.08,26.55,58.74,58.43,42.03,8.69,0.82,0.0466662,0.0342896437742502,50702.79,34879.52,7.4,6.9,14.8,79,8.8,0,0,2.4,9.1,9.1,11.4,79,0,3.6,30.8,2,2,48,48
-20.06806,-45.807,SF,UFV1,0,15.74,239.05,2.3,9.32,65.17,86.93,313.5,0.455179433909691,15.14,24.8,25.96,100.39,40.4,4.47,0.75,0.0466662,0.09,65764.25,64499.55,5.1,4,97.1,81,1.7,0.1,0.9,5.9,2,2.8,7.9,24.9,30.7,3.7,22.6,2,2,37,59
